Name,Created,Meeting Type,Link to Planning,Meeting Date
Stand Up,"May 23, 2024 9:30 AM",Stand Up,,"May 23, 2024 9:30 (GMT+2)"
Stand Down,"May 21, 2024 3:40 PM",Stand Down,,"May 21, 2024 15:40 (GMT+2)"
Stand Up,"May 21, 2024 7:48 AM",Stand Up,,"May 21, 2024 9:30 (GMT+2)"
Stand Down,"May 17, 2024 3:33 PM",Stand Down,,"May 17, 2024 15:33 (GMT+2)"
Stand Up,"May 17, 2024 9:30 AM",Stand Up,,"May 17, 2024 9:30 (GMT+2)"
Stand Down,"May 16, 2024 3:25 PM",Stand Down,,"May 16, 2024 15:25 (GMT+2)"
Stand Up,"May 16, 2024 9:00 AM",Stand Up,,"May 16, 2024 9:30 (GMT+2)"
Stand Down,"May 14, 2024 3:40 PM",Stand Down,,"May 14, 2024 15:40 (GMT+2)"
Stand Up,"May 14, 2024 9:31 AM",Stand Up,,"May 14, 2024 9:31 (GMT+2)"
Stand Down,"May 13, 2024 3:45 PM",Stand Down,,"May 13, 2024 15:45 (GMT+2)"
Stand Up,"May 13, 2024 9:31 AM",Stand Up,,"May 13, 2024 9:31 (GMT+2)"
Stand Down,"May 7, 2024 3:39 PM",Stand Down,,"May 7, 2024 15:39 (GMT+2)"
Stand Up,"May 7, 2024 9:30 AM",Stand Up,,"May 7, 2024 9:30 (GMT+2)"
Stand Down,"May 6, 2024 3:44 PM",Stand Down,,"May 6, 2024 15:44 (GMT+2)"
Stand Up,"May 6, 2024 9:30 AM",Stand Up,,"May 6, 2024 9:30 (GMT+2)"
Sprint 3 Planning,"April 26, 2024 2:04 PM",Meeting,Sprint 3 Planning (https://www.notion.so/Sprint-3-Planning-364050be78174c9ba8147fd8f9f53bb4?pvs=21),"April 26, 2024 14:04 (GMT+2)"
Sprint 2 Refinement,"April 26, 2024 1:28 PM",Meeting,Sprint 2 Refinement (https://www.notion.so/Sprint-2-Refinement-b00959c78c4a4ba8b7d424d3a2d9f410?pvs=21),"April 26, 2024 13:28 (GMT+2)"
Sprint 2 Retrospective,"April 26, 2024 1:09 PM",Meeting,Sprint 2 Retrospective (https://www.notion.so/Sprint-2-Retrospective-84cb26f5180242db8583058e3b266043?pvs=21),"April 26, 2024 13:10 (GMT+2)"
Sprint 2 Review,"April 26, 2024 9:49 AM",Meeting,Sprint 2 Review (https://www.notion.so/Sprint-2-Review-49bcca4f9e324a9daa295d8ef59be2c5?pvs=21),"April 26, 2024 9:49 (GMT+2)"
Stand Down,"April 25, 2024 3:12 PM",Stand Down,,"April 25, 2024 15:12 (GMT+2)"
Stand Up,"April 25, 2024 9:30 AM",Stand Up,,"April 25, 2024 9:30 (GMT+2)"
Stand Down,"April 23, 2024 3:44 PM",Stand Down,,"April 23, 2024 15:44 (GMT+2)"
Stand Up,"April 23, 2024 9:32 AM",Stand Up,,"April 23, 2024 9:32 (GMT+2)"
Stand Down,"April 22, 2024 3:43 PM",Stand Down,,"April 22, 2024 15:43 (GMT+2)"
Stand Up,"April 22, 2024 9:30 AM",Stand Up,,"April 22, 2024 9:30 (GMT+2)"
Stand Down,"April 19, 2024 3:40 PM",Stand Down,,"April 19, 2024 15:40 (GMT+2)"
Stand Up,"April 19, 2024 9:30 AM",Stand Up,,"April 19, 2024 9:30 (GMT+2)"
Stand Down,"April 18, 2024 3:41 PM",Stand Down,,"April 18, 2024 15:41 (GMT+2)"
Stand Up,"April 18, 2024 9:31 AM",Stand Up,,"April 18, 2024 9:31 (GMT+2)"
Stand Down,"April 16, 2024 3:36 PM",Stand Down,,"April 16, 2024 15:36 (GMT+2)"
Stand Up,"April 16, 2024 9:30 AM",Stand Up,,"April 16, 2024 9:30 (GMT+2)"
Stand Down,"April 15, 2024 3:42 PM",Stand Down,,"April 15, 2024 15:42 (GMT+2)"
Stand Up,"April 15, 2024 9:30 AM",Stand Up,,"April 15, 2024 9:30 (GMT+2)"
Stand Down,"April 12, 2024 2:36 PM",Stand Down,,"April 12, 2024 14:36 (GMT+2)"
Stand Up,"April 12, 2024 9:25 AM",Stand Up,,"April 12, 2024 9:25 (GMT+2)"
Stand Down,"April 11, 2024 3:39 PM",Stand Down,,"April 11, 2024 15:39 (GMT+2)"
Co-op Design,"April 11, 2024 10:00 AM",Meeting,Co-op Design (https://www.notion.so/Co-op-Design-e564eb5e90c444249c4a4cddec8786de?pvs=21),"April 11, 2024 10:00 (GMT+2)"
Stand Up,"April 11, 2024 9:30 AM",Stand Up,,"April 11, 2024 9:30 (GMT+2)"
Stand Down,"April 9, 2024 3:39 PM",Stand Down,,"April 9, 2024 15:39 (GMT+2)"
Communication Design,"April 9, 2024 9:36 AM",Meeting,Communication Design (https://www.notion.so/Communication-Design-c3298c7447464d49b8236d917435e8d0?pvs=21),"April 9, 2024 9:36 (GMT+2)"
Stand Up,"April 9, 2024 9:30 AM",Stand Up,,"April 9, 2024 9:30 (GMT+2)"
Stand Down,"April 8, 2024 3:41 PM",Stand Down,,"April 8, 2024 15:41 (GMT+2)"
Level Design,"April 8, 2024 1:29 PM",Meeting,Level Design (https://www.notion.so/Level-Design-8257f4bee50741279e11debb7c8e4225?pvs=21),"April 8, 2024 13:29 (GMT+2)"
Stand Up,"April 8, 2024 9:33 AM",Stand Up,,"April 8, 2024 9:33 (GMT+2)"
Stand Down,"April 5, 2024 2:57 PM",Stand Down,,"April 5, 2024 14:57 (GMT+2)"
Sprint 2 Planning,"April 5, 2024 1:29 PM",Meeting,Sprint 2 Planning (https://www.notion.so/Sprint-2-Planning-e9f8546e755f4ad8a16683edd96106a0?pvs=21),"April 5, 2024 13:29 (GMT+2)"
Sprint 1 Refinement,"April 5, 2024 12:53 PM",Meeting,Sprint 1 Refinement (https://www.notion.so/Sprint-1-Refinement-4a3712aed64c45f38c4ce2fd6ff44f6b?pvs=21),"April 5, 2024 12:53 (GMT+2)"
Sprint 1 Retrospective,"April 5, 2024 11:03 AM",Meeting,Sprint 1 Retrospective (https://www.notion.so/Sprint-1-Retrospective-c92487e379794909928eb3e1797667f8?pvs=21),"April 5, 2024 11:03 (GMT+2)"
Sprint 1 Review,"April 5, 2024 10:08 AM",Meeting,Sprint 1 Review (https://www.notion.so/Sprint-1-Review-6fcdc63d0d694c8ebf54d01d9bf790a3?pvs=21),"April 5, 2024 10:08 (GMT+2)"
Stand Down,"April 4, 2024 3:42 PM",Stand Down,,"April 4, 2024 15:42 (GMT+2)"
Stand Up,"April 4, 2024 9:30 AM",Stand Up,,"April 4, 2024 9:30 (GMT+2)"
Stand Down,"April 2, 2024 3:37 PM",Stand Down,,"April 2, 2024 15:45 (GMT+2)"
Stand Up,"April 2, 2024 3:35 PM",Stand Up,,"April 2, 2024 9:30 (GMT+2)"
Stand Down,"March 28, 2024 3:45 PM",Stand Down,,"March 28, 2024 15:45 (GMT+1)"
"Enemy, Structure Interaction Design","March 28, 2024 10:10 AM",Meeting,"Enemy, Structure Interaction Design (https://www.notion.so/Enemy-Structure-Interaction-Design-73fb5ccabf7347709fff03420189a762?pvs=21)","March 28, 2024 10:11 (GMT+1)"
Stand Up,"March 28, 2024 9:29 AM",Stand Up,,"March 28, 2024 9:29 (GMT+1)"
Stand Down,"March 26, 2024 3:43 PM",Stand Down,,"March 26, 2024 15:43 (GMT+1)"
"Structures Design ","March 26, 2024 9:45 AM",Meeting,Tower Design (https://www.notion.so/Tower-Design-1252a402aa01410f8a5867dfbf6da2e2?pvs=21),"March 26, 2024 9:45 (GMT+1)"
Stand Down,"March 26, 2024 9:36 AM",Stand Down,,"March 25, 2024 15:45 (GMT+1)"
Stand Up,"March 26, 2024 9:30 AM",Stand Up,,"March 26, 2024 9:30 (GMT+1)"
Player HP Design,"March 25, 2024 9:44 AM",Meeting,,"March 25, 2024 14:00 (GMT+1)"
Stand Up,"March 25, 2024 9:29 AM",Stand Up,,"March 25, 2024 9:30 (GMT+1)"
Stand Down,"March 22, 2024 3:42 PM",Stand Down,,"March 22, 2024 15:42 (GMT+1)"
Stand Up,"March 22, 2024 9:33 AM",Stand Up,,"March 22, 2024 9:33 (GMT+1)"
Stand Down,"March 21, 2024 3:43 PM",Stand Down,,"March 21, 2024 15:43 (GMT+1)"
Sprint 1 Planning,"March 21, 2024 9:16 AM",Meeting,Sprint 1 Planning (https://www.notion.so/Sprint-1-Planning-a2ce547747f24203a1fc422a7c724509?pvs=21),"March 21, 2024 9:16 (GMT+1)"
Concept Inspirations,"March 19, 2024 1:59 PM",Meeting,Concept Inspirations (https://www.notion.so/Concept-Inspirations-cb167467bb9b49339cc1e12a93a6dc40?pvs=21),"March 19, 2024 13:59 (GMT+1)"
Preliminary Concept,"March 19, 2024 11:46 AM",Meeting,Preliminary Concept (https://www.notion.so/Preliminary-Concept-5d86c1d4247f48b198e902286d0bd13a?pvs=21),"March 19, 2024 11:46 (GMT+1)"
Initial Pitch Reviews,"March 18, 2024 11:13 AM",Meeting,Initial Pitch Review (https://www.notion.so/Initial-Pitch-Review-4d88bd5c2f274bca9aa7f8a2689969ba?pvs=21),"March 18, 2024 11:13 (GMT+1)"
